accX,accY,accZ,angle,force,mic,ldr,direction,timestamp
-0.47,0.18,0.83,12.33,0.00,0.00,3702.00,N,2025-10-14 17:02:51
-0.47,0.18,0.83,12.44,50.00,0.00,3682.00,N,2025-10-14 17:02:51
-0.47,0.18,0.83,12.44,0.00,0.00,3691.00,N,2025-10-14 17:02:51
-0.47,0.18,0.83,12.22,50.00,0.00,3667.00,N,2025-10-14 17:02:52
-0.47,0.18,0.84,12.06,0.00,0.00,3691.00,N,2025-10-14 17:02:52
-0.47,0.18,0.84,12.33,5.62,0.00,3709.00,N,2025-10-14 17:02:52
-0.47,0.18,0.84,12.26,0.00,0.00,3707.00,N,2025-10-14 17:02:52
-0.47,0.18,0.84,12.37,0.00,0.00,3715.00,N,2025-10-14 17:02:52
-0.47,0.18,0.83,12.37,50.00,0.00,3696.00,N,2025-10-14 17:02:53
-0.47,0.18,0.84,12.26,0.00,0.00,3719.00,N,2025-10-14 17:02:53
-0.47,0.18,0.83,12.38,50.00,0.00,3695.00,N,2025-10-14 17:02:53
-0.47,0.18,0.83,12.09,0.00,0.00,3664.00,N,2025-10-14 17:02:53
-0.47,0.18,0.83,12.25,0.00,0.00,3679.00,N,2025-10-14 17:02:54
-0.47,0.18,0.83,12.31,26.17,0.00,3713.00,N,2025-10-14 17:02:54
-0.47,0.18,0.83,12.14,0.00,0.00,3697.00,N,2025-10-14 17:02:54
-0.47,0.18,0.84,12.25,50.00,0.00,3646.00,N,2025-10-14 17:02:54
-0.47,0.18,0.83,11.96,0.00,0.00,3695.00,N,2025-10-14 17:02:55
-0.47,0.18,0.83,12.25,50.00,0.00,3696.00,N,2025-10-14 17:02:55
-0.47,0.18,0.83,12.24,0.00,0.00,3726.00,N,2025-10-14 17:02:55
-0.47,0.18,0.83,12.52,0.00,0.00,3719.00,N,2025-10-14 17:02:55
-0.47,0.18,0.84,12.43,50.00,0.00,3714.00,N,2025-10-14 17:02:55
-0.47,0.18,0.83,12.46,0.00,0.00,3722.00,N,2025-10-14 17:02:56
-0.47,0.18,0.84,12.23,50.00,0.00,3724.00,N,2025-10-14 17:02:56
-0.47,0.18,0.83,12.38,0.00,0.00,3712.00,N,2025-10-14 17:02:56
-0.47,0.18,0.83,12.21,0.18,0.00,3697.00,N,2025-10-14 17:02:56
-0.47,0.18,0.83,12.48,0.00,0.00,3718.00,N,2025-10-14 17:02:57
-0.47,0.18,0.83,11.89,0.00,0.00,3728.00,N,2025-10-14 17:02:57
